dataset,F1,overlap_region_count,mean_feature_relevance,N3,mean_margin,outlier_percentage,N1,decision_boundary_density,local_density_ratio,cluster_compactness_ratio,imbalance_ratio,f1,auc,accuracy
03subcl5-800-7-60-BI,0.0030086361908407,2,0.5,0.22,1.0000013281933706,1.0,0.1125,0.1,2.1187922716444803,0.6588504282765331,7.0,0.8856035769712983,0.782221899941748,0.8161111111111111
glass-0-1-5_vs_2,0.1374544364237009,9,0.0420756658549076,0.1220930232558139,1.000098580359575,0.2151162790697674,0.3720930232558139,0.0,4.40329457364341,3.24099205527436,9.117647058823527,0.19673942615119083,0.717388800406737,0.8002240896358543
paw02a-600-5-0-BI,0.0025549065204264,2,0.5,0.04,1.0000026526659436,1.0,0.0333333333333333,0.1,0.9062191677668068,0.4556331565904326,5.0,0.9252557986555837,0.9161911463602441,0.8887037037037037
yeast-2_vs_4,1.5793126024765014,8,0.125,0.05,3.005053615541577,0.926070038910506,0.0389105058365758,0.1011673151750972,1.703945821444879,1.1489603565780724,9.07843137254902,0.6843671926327778,0.9440423264689797,0.8764896249762041
paw02a-600-5-30-BI,0.0101494059144831,2,0.5,0.13,1.0000148380246137,1.0,0.075,0.1,1.3092720226165115,0.4969902535730812,5.0,0.8989231092143657,0.8657680032923115,0.8444444444444446
ecoli-0-6-7_vs_3-5,0.9204922767644804,7,0.3585581765338642,0.0495495495495495,2.26804875185176,0.0990990990990991,0.1666666666666666,0.0135135135135135,5.292642642642643,0.8929739059315491,9.090909090909092,0.584681861348528,0.9152583732665034,0.9388439955106622
ecoli-0-1_vs_5,1.3897508024149734,6,0.1666666666666666,0.03,3.056708849224074,0.8916666666666667,0.0125,0.1,2.078665655260651,1.049177432711806,11.0,0.784721081387748,0.9422943153360261,0.9680555555555556
yeast-0-2-5-6_vs_3-7-8-9,0.6938645217825397,8,0.125,0.12,1.6568271919688216,0.9342629482071712,0.0597609561752988,0.1005976095617529,1.7149787209682,1.6049485575218263,9.141414141414142,0.5282071695819264,0.8357316919479234,0.9133631840796019
paw02a-800-7-60-BI,0.0037815072770072,2,0.5,0.14,0.9999951932217886,1.0,0.09875,0.1,1.7178769977783652,0.5236862851776745,7.0,0.8910591237356369,0.8202408256660871,0.8268055555555556
glass5,1.018548555190436,9,0.1111111111111111,0.01,3.0287695528379244,0.7990654205607477,0.0233644859813084,0.102803738317757,2.1179974776979376,0.9307942408385604,22.77777777777778,0.6157671957671957,0.9671825396825395,0.9683277962347729
04clover5z-800-7-50-BI,0.004341360715328,2,0.5,0.13,0.9999990007915142,1.0,0.1175,0.1,1.828718442103076,0.5682304221513674,7.0,0.8868987675729828,0.8035396769697747,0.8173611111111111
04clover5z-600-5-60-BI,0.0035076357335032,2,0.5,0.17,0.9999399976772588,1.0,0.15,0.1,1.5510041923513378,0.5631832745014326,5.0,0.8646214158765688,0.794992122116158,0.7883333333333333
ecoli-0-1_vs_2-3-5,1.1028186555610953,7,0.4606839265439725,0.0450819672131147,2.6899471820913385,0.1147540983606557,0.1229508196721311,0.0163934426229508,5.486475409836065,0.7931375966695091,9.166666666666666,0.7040579790579791,0.9351515019481137,0.9531368102796675
04clover5z-800-7-30-BI,0.0044515624074017,2,0.5,0.15,1.0001052380447235,1.0,0.07375,0.1,1.5625553461404411,0.5666785044097369,7.0,0.8954587611369345,0.8344541226363671,0.8343055555555555
